id,sender_id,receiver_id,amount,country,timestamp,label,sender_profile,is_known_mixer,is_bridge,sender_tx_count,sender_avg_amount,sender_active_days,tx_count_in_window,small_tx_count_in_window,fan_in_count,layering_flag,layering_chain,mixer_flag,mixer_type,bridge_hop_count,bridge_flag,peel_flag,peel_chain,novel_dump_flag,conc_inflow_flag,conc_inflow_count,ofac_flag,ofac_address,flash_flag,flash_count,burst_flag,burst_count,dormant_flag,dormant_years,wash_flag,wash_counterpart,ts,smurf_flag,smurf_count,exit_rush_flag,rapid_flag,rapid_receivers,high_risk_country_flag,ex_avoid_flag,ex_avoid_hops,deep_peel_flag,deep_peel_depth,risk_score,reasons,alert,risk_level,risk_emoji
0x47798dbe0585d1c5635ecbd7b16d18ad5d81577f523e2ea42d87190bcbda0715,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0x9fae13de16d34873246e48b514fc88581751533f,978515.0,UNKNOWN,2022-03-28 02:36:18,LIVE,HIGH_RISK,False,False,31,11500136.803870965,363.0,3,0,1,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-28 02:36:18,False,0,False,False,0,True,False,0,False,0,280,profile_HIGH_RISK;large_amount;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xbca767de1cd8617b48b0c889779242cc5ebf77746930ae5ffd8bd9ade4e5591f,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0x776b80e3fd97516ae3a2579cf4eae5ff5867d0f3,1467772.5,UNKNOWN,2022-03-28 06:52:27,LIVE,HIGH_RISK,False,False,31,11500136.803870965,363.0,1,0,1,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-28 06:52:27,False,0,False,False,0,True,False,0,False,0,280,profile_HIGH_RISK;large_amount;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xc4df81444928db931c0520e97156631b620873231ba87aff2a43f15a6e068f01,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0xdb3a63562bb7afd44e6b6be8c8269f807c39f5fa,1467772.5,UNKNOWN,2022-03-28 08:10:50,LIVE,HIGH_RISK,False,False,31,11500136.803870965,363.0,1,0,1,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-28 08:10:50,False,0,False,False,0,True,False,0,False,0,280,profile_HIGH_RISK;large_amount;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xb4a10ba6d65564b7c16301c160d6cc20c302930372bbc7b6ae8b6c7c00e6329b,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0x9fae13de16d34873246e48b514fc88581751533f,1467772.5,UNKNOWN,2022-03-28 09:46:49,LIVE,HIGH_RISK,False,False,31,11500136.803870965,363.0,1,0,1,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-28 09:46:49,False,0,False,False,0,True,False,0,False,0,280,profile_HIGH_RISK;large_amount;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xb0b1aeb2e2b816dd38c3d5a95166220884068fa95fe4fa77c2d087ac79a430d3,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0x29fc9b71492ec63696cf9cd56e9832a42b0dced0,2446287.5,UNKNOWN,2022-03-29 02:35:38,LIVE,HIGH_RISK,False,False,31,11500136.803870965,363.0,1,0,1,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 02:35:38,False,0,False,False,0,True,False,0,False,0,280,profile_HIGH_RISK;large_amount;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xa9d9b731b7e1d44c75bcf8580d129b715e31be2b0b99437d78312681cfd99574,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0x5d84a732b355ada31a36b33c446e3dee28f51555,2446287.5,UNKNOWN,2022-03-29 02:37:55,LIVE,HIGH_RISK,False,False,31,11500136.803870965,363.0,2,0,1,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 02:37:55,False,0,False,False,0,True,False,0,False,0,280,profile_HIGH_RISK;large_amount;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0x3c9a93846615ef068911809166c39ea9e40e359e25e22fff8efdfc6e3f1c3312,0x6be687a5143ff5220cc5f4b3c6a43468b5331bc1,0x098b716b8aaf21512996dc57eb0615e2383e2f96,19.57,UNKNOWN,2022-03-29 16:03:23,LIVE,UNKNOWN,False,False,1,19.57,1.0,1,1,1,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:03:23,False,0,False,False,0,True,False,0,False,0,230,profile_UNKNOWN;foreign_country;foreign_context_only;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xc5069f3030fb74deaab7a157a9f79b225ecf6b0f038b9d38008b1cfdf0d427cc,0xb1e33c350d1b865b75e3f116b18dc752cb7e163f,0x098b716b8aaf21512996dc57eb0615e2383e2f96,1.96,UNKNOWN,2022-03-29 16:14:20,LIVE,UNKNOWN,False,False,1,1.96,1.0,1,1,2,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:14:20,False,0,False,False,0,True,False,0,False,0,230,profile_UNKNOWN;foreign_country;foreign_context_only;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xc5d899dbb2df837fad6ae5e2fc36e27dcaf6d419b9862577a0efa8e926929d9c,0xe9baa3f28df9d0646fa872b9c3ca2b9b14aeeed5,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0.02,UNKNOWN,2022-03-29 16:16:45,LIVE,UNKNOWN,False,False,1,0.02,1.0,1,1,3,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:16:45,False,0,False,False,0,True,False,0,False,0,230,profile_UNKNOWN;foreign_country;foreign_context_only;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0x7942d60703f7b4a811baccafde6a223a605fff8ab2f039b5275e86d067502cb1,0xd418e97d62b546bf33e60a24dfe2b9c9b093837c,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0.2,UNKNOWN,2022-03-29 16:20:55,LIVE,UNKNOWN,False,False,1,0.2,1.0,1,1,4,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:20:55,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xe7520035737b331b95e38d2ec8a461b3ab98432854582e67f44da842142f0b52,0xeb878adb986458c7ac563f52d8756058280eafa4,0x098b716b8aaf21512996dc57eb0615e2383e2f96,1.96,UNKNOWN,2022-03-29 16:21:15,LIVE,UNKNOWN,False,False,1,1.96,1.0,1,1,5,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:21:15,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0x9aedf614b77ac8e0a535eaed1a1720e42694c6bf4aecd70a870b4db72c2fed97,0x880833ebbcdc2628b7878969430a49c2cb7f0b4e,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0.2,UNKNOWN,2022-03-29 16:21:24,LIVE,UNKNOWN,False,False,1,0.2,1.0,1,1,6,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:21:24,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xbe5f52cfd1b41725d28a4446fdb1e7335d5928cdce374979269d6bcf0da1a5fb,0x1eeca807877d4682ad02930960c297d7456fb155,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0.2,UNKNOWN,2022-03-29 16:21:30,LIVE,UNKNOWN,False,False,1,0.2,1.0,1,1,7,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:21:30,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0x022786cd13d8e311a0281327c3473af267ded00d0c680d09b9b25a76204f91c2,0x4e7a17c87d63ac3a78b718530a3f345c2feaeba2,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0.2,UNKNOWN,2022-03-29 16:23:20,LIVE,UNKNOWN,False,False,3,0.6133333333333333,1.0,1,1,9,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:23:20,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xec16b8d57df7be2630e80a3b92a8c521dbdc972649d2db5ee026b51a0a3f29a3,0x3f43613210c4f79efefcc9bdacf0a8d391714f3f,0x098b716b8aaf21512996dc57eb0615e2383e2f96,19.57,UNKNOWN,2022-03-29 16:23:20,LIVE,UNKNOWN,False,False,1,19.57,1.0,1,1,9,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:23:20,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0x87bcced457e50657e9a485fa9325a7f692bd01394e8082fc5549b27f09a7a145,0xa15e31f36d2b2544c89f474c1bf0cf45d5999999,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0.02,UNKNOWN,2022-03-29 16:32:09,LIVE,UNKNOWN,False,False,1,0.02,1.0,1,1,10,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:32:09,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0x3c9553c08f3d073d13116677ccb5790b8360586f064bb0bc1b44a1e9c681f1bc,0x4d655f108956e7872cd118214e4f5073c79dddd3,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0.2,UNKNOWN,2022-03-29 16:33:12,LIVE,UNKNOWN,False,False,1,0.2,1.0,1,1,11,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:33:12,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0x5f80adce8e1f7e176f0e40ed0a1bebac964d578317fd1b3c89c27118ea836f7e,0x4aa141ae689da66e7cbe421d6bb93e8d23d660de,0x098b716b8aaf21512996dc57eb0615e2383e2f96,1.96,UNKNOWN,2022-03-29 16:35:38,LIVE,UNKNOWN,False,False,1,1.96,1.0,1,1,12,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:35:38,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xe3cbe12fb826a92dc965c960e5a2ac3359fe196d6e5e15f9836e532f665f03b0,0x4e7a17c87d63ac3a78b718530a3f345c2feaeba2,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0.82,UNKNOWN,2022-03-29 16:36:43,LIVE,UNKNOWN,False,False,3,0.6133333333333333,1.0,2,2,12,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:36:43,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0xb95682bb4497a461e41288c775db237a44f9c021c4acbac6fd867570cc5734b3,0x167ac0c63d76352c8f3682b42bef71c5ef4d0594,0x098b716b8aaf21512996dc57eb0615e2383e2f96,0.2,UNKNOWN,2022-03-29 16:36:47,LIVE,UNKNOWN,False,False,1,0.2,1.0,1,1,13,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:36:47,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
0x7d5a3d26c7a910296e6ccd0885ad5de81a22fd050c85ad936a6f0b4151fe5fa3,0xf56b7647799e2c4d2fcf93a62b1b578723718814,0x098b716b8aaf21512996dc57eb0615e2383e2f96,3.91,UNKNOWN,2022-03-29 16:39:58,LIVE,UNKNOWN,False,False,1,3.91,1.0,1,1,15,False,,False,,0,False,False,,False,False,0,True,0x098b716b8aaf21512996dc57eb0615e2383e2f96,False,0,False,0,False,0.0,False,,2022-03-29 16:39:58,False,0,False,False,0,True,False,0,False,0,270,profile_UNKNOWN;fan_in;foreign_country;OFAC_SDN_MATCH;high_risk_jurisdiction_amplified;,True,CRITICAL,🔴
